Date,Price,Open,High,Low,Vol.,Change %
2026-04-16,64.42,64.25,64.54,63.9,110.25K,0.50%
2026-04-15,64.1,63.25,64.12,63.23,165.93K,1.39%
2026-04-14,63.22,62.42,63.23,62.42,234.47K,1.74%
2026-04-13,62.14,61.34,62.15,61.25,162.48K,1.01%
2026-04-10,61.52,61.66,61.78,61.42,101.93K,0.11%
2026-04-09,61.45,61.01,61.47,60.75,135.67K,0.66%
2026-04-08,61.05,61.37,61.43,60.68,228.59K,2.92%
2026-04-07,59.32,59.1,59.32,58.33,237.68K,0.00%
2026-04-06,59.32,59.03,59.5,58.97,180.13K,0.58%
2026-04-02,58.98,57.92,59.05,57.68,254.21K,0.14%
2026-04-01,58.9,58.7,59.25,58.57,254.81K,1.10%
2026-03-31,58.26,56.84,58.35,56.84,349.66K,3.44%
2026-03-30,56.32,57.15,57.28,56,204.18K,-0.76%
2026-03-27,56.75,57.54,57.58,56.64,259.71K,-1.99%
2026-03-26,57.9,58.76,59,57.88,232.42K,-2.41%
2026-03-25,59.33,59.43,59.71,59.17,178.50K,0.61%
2026-03-24,58.97,59.11,59.33,58.79,165.92K,-0.74%
2026-03-23,59.41,59.68,60.09,59.19,319.14K,1.19%
2026-03-20,58.71,59.7,59.7,58.4,198.70K,-1.89%
2026-03-19,59.84,59.53,60.1,59.23,145.84K,-0.30%
2026-03-18,60.02,60.75,60.79,60,73.20K,-1.41%
2026-03-17,60.88,60.85,61.13,60.75,50.80K,0.41%
2026-03-16,60.63,60.5,60.93,60.47,135.34K,1.17%
2026-03-13,59.93,60.48,60.9,59.81,1.27M,-0.61%
2026-03-12,60.3,60.9,60.95,60.28,128.98K,-1.70%
2026-03-11,61.34,61.42,61.8,61.1,82.24K,0.00%
2026-03-10,61.34,61.4,61.9,61.12,154.18K,-0.03%
2026-03-09,61.36,59.94,61.48,59.74,201.56K,1.27%
2026-03-06,60.59,60.67,61.17,60.44,147.05K,-1.43%
2026-03-05,61.47,61.44,61.85,60.84,155.08K,-0.34%
2026-03-04,61.68,60.98,61.88,60.95,117.21K,1.55%
2026-03-03,60.74,60.29,60.98,59.77,371.94K,-1.11%
2026-03-02,61.42,60.51,61.59,60.4,176.14K,0.10%
2026-02-27,61.36,60.96,61.4,60.85,132.22K,-0.24%
2026-02-26,61.51,62.22,62.22,61.03,145.86K,-1.22%
2026-02-25,62.27,61.72,62.3,61.72,138.36K,1.40%
2026-02-24,61.41,60.81,61.5,60.61,86.27K,1.10%
2026-02-23,60.74,61.29,61.41,60.5,124.01K,-1.24%
2026-02-20,61.5,60.66,61.66,60.55,245.33K,0.90%
2026-02-19,60.95,60.87,61.18,60.7,67.39K,-0.42%
2026-02-18,61.21,60.9,61.6,60.73,109.18K,0.71%
2026-02-17,60.78,60.48,61.01,59.94,220.41K,-0.08%
2026-02-13,60.83,60.76,61.3,60.29,146.04K,0.16%
2026-02-12,60.73,62.21,62.25,60.61,268.69K,-2.03%
2026-02-11,61.99,62.39,62.39,61.46,105.71K,0.26%
2026-02-10,61.83,62.25,62.39,61.81,74.45K,-0.53%
2026-02-09,62.16,61.49,62.32,61.2,116.77K,0.79%
2026-02-06,61.67,60.75,61.82,60.57,128.10K,2.12%
2026-02-05,60.39,60.64,61.15,60.14,306.78K,-1.40%
2026-02-04,61.25,62.15,62.19,60.73,391.57K,-1.80%
2026-02-03,62.37,63.62,63.62,61.8,217.39K,-1.52%
2026-02-02,63.33,62.52,63.58,62.52,281.35K,0.68%
2026-01-30,62.9,63.24,63.51,62.68,169.29K,-1.21%
2026-01-29,63.67,63.95,64.04,62.58,236.06K,-0.58%
2026-01-28,64.04,64.34,64.38,63.95,110.80K,0.30%
2026-01-27,63.85,63.58,63.95,63.5,100.72K,0.84%
2026-01-26,63.32,63.03,63.52,62.96,84.14K,0.43%
2026-01-23,63.05,62.79,63.31,62.67,110.03K,0.35%
2026-01-22,62.83,62.96,62.98,62.56,124.69K,0.75%
2026-01-21,62.36,61.63,62.81,61.57,314.59K,1.38%
2026-01-20,61.51,61.86,62.26,61.47,213.16K,-1.47%
2026-01-19,62.43,62.06,62.63,61.95,168.27K,-0.75%
2026-01-16,62.9,63.28,63.4,62.68,123.85K,-0.06%
2026-01-15,62.94,63.4,63.52,62.89,163.51K,0.32%
2026-01-14,62.74,63.1,63.14,62.25,215.74K,-1.07%
2026-01-13,63.42,63.6,63.76,63.2,115.65K,-0.20%
2026-01-12,63.55,63.11,63.7,63.08,135.99K,0.08%
2026-01-09,63.5,63,63.61,62.73,144.70K,0.99%
2026-01-08,62.88,63.13,63.13,62.6,100.25K,-0.54%
2026-01-07,63.22,63.18,63.62,63.08,140.72K,0.03%
2026-01-06,63.2,62.78,63.22,62.68,121.22K,1.04%
2026-01-05,62.55,62.75,62.86,62.5,208.58K,0.68%
2026-01-02,62.13,62.88,63.11,61.84,247.38K,-0.26%
2025-12-31,62.29,62.81,62.81,62.24,89.93K,-0.76%
2025-12-30,62.77,62.85,63.02,62.77,103.70K,-0.38%
