Date,Price,Open,High,Low,Vol.,Change %
2026-06-25,69.58,69.0,69.58,69.0,3.65K,
2026-06-24,69.12,67.79,69.2,67.78,38.30K,-0.66%
2026-06-23,67.52,66.12,67.94,66.12,29.80K,-2.31%
2026-06-22,64.78,65.46,65.56,64.69,9.40K,-4.06%
2026-06-19,65.61,65.75,66.12,65.61,5.90K,1.28%
2026-06-18,65.98,65.8,66.5,65.76,10.60K,0.56%
2026-06-17,65.97,65.93,65.97,65.44,13.10K,-0.02%
2026-06-16,66.15,66.31,66.4,65.66,16.60K,0.27%
2026-06-15,66.31,66.4,66.4,65.8,13.90K,0.24%
2026-06-12,66.46,67.3,67.49,66.29,17.90K,0.23%
2026-06-11,67.12,67.6,67.6,66.76,9.90K,0.99%
2026-06-10,66.73,66.56,67.17,66.51,11.00K,-0.58%
2026-06-09,66.7,65.43,66.95,65.43,16.00K,-0.04%
2026-06-08,65.44,65.84,66.23,65.23,34.40K,-1.89%
2026-06-05,66.36,64.34,66.58,64.34,17.30K,1.41%
2026-06-04,64.54,64.5,65.0,64.5,13.10K,-2.74%
2026-06-03,64.36,63.3,64.4,63.3,14.80K,-0.28%
2026-06-02,63.37,63.45,63.45,62.85,13.10K,-1.54%
2026-06-01,63.59,63.22,63.74,63.22,11.50K,0.35%
2026-05-29,63.38,63.22,63.87,63.22,19.40K,-0.33%
2026-05-28,63.13,63.0,63.27,62.93,5.70K,-0.39%
2026-05-27,63.11,62.3,63.27,62.3,9.10K,-0.03%
2026-05-26,62.34,63.36,63.36,62.24,18.50K,-1.22%
2026-05-25,63.38,63.32,63.42,63.24,11.40K,1.67%
2026-05-22,63.26,63.61,63.63,63.04,14.00K,-0.19%
2026-05-21,63.52,63.43,63.52,62.91,13.60K,0.41%
2026-05-20,63.68,62.98,63.83,62.98,22.20K,0.25%
2026-05-19,63.02,62.33,63.27,62.33,24.30K,-1.04%
2026-05-15,62.47,62.73,62.75,62.29,11.10K,-0.87%
2026-05-14,62.68,62.25,62.9,62.25,25.10K,0.34%
2026-05-13,62.03,62.29,62.49,61.7,20.90K,-1.04%
2026-05-12,62.36,61.96,62.5,61.96,23.60K,0.53%
2026-05-11,61.69,62.9,62.97,61.66,23.90K,-1.07%
2026-05-08,62.97,62.66,63.21,62.65,21.30K,2.07%
2026-05-07,62.66,62.35,63.12,62.35,24.10K,-0.49%
2026-05-06,62.31,63.74,63.74,62.3,33.90K,-0.56%
2026-05-05,63.67,63.27,63.76,63.27,34.50K,2.18%
2026-05-04,63.2,64.0,64.0,63.09,47.30K,-0.74%
2026-05-01,64.07,64.1,64.31,63.81,22.60K,1.38%
2026-04-30,63.91,62.63,63.91,62.59,31.20K,-0.25%
2026-04-29,62.49,62.46,62.88,62.39,27.60K,-2.22%
2026-04-28,62.53,62.63,62.85,62.24,15.80K,0.06%
2026-04-27,62.5,62.91,63.16,62.5,35.10K,-0.05%
2026-04-24,63.18,62.86,63.18,62.8,9.20K,1.09%
