Date,Price_XST,Price_XQQ,Delta %,Signal
2026-04-16,62.26,64.42,3.3529959639863454,
2026-04-15,63.19,64.1,1.4196567862714458,
2026-04-14,62.91,63.22,0.490351154697884,
2026-04-13,63.22,62.14,1.7380109430318609,
2026-04-10,64.68,61.52,5.136540962288692,
2026-04-09,65.09,61.45,5.923515052888527,
2026-04-08,66.6,61.05,9.090909090909086,
2026-04-07,65.41,59.32,10.266351989211051,
2026-04-06,65.81,59.32,10.94066082265678,
2026-04-02,65.43,58.98,10.935910478128196,
2026-04-01,65.03,58.9,10.407470288624793,
2026-03-31,64.88,58.26,11.362856162032266,
2026-03-30,64.58,56.32,14.66619318181818,
2026-03-27,64.07,56.75,12.898678414096903,
2026-03-26,63.92,57.9,10.3972366148532,
2026-03-25,64.35,59.33,8.461149502781048,
2026-03-24,64.33,58.97,9.08936747498728,
2026-03-23,65.07,59.41,9.52701565393031,
2026-03-20,63.54,58.71,8.22687787429739,
2026-03-19,63.49,59.84,6.099598930481281,
2026-03-18,64.81,60.02,7.9806731089636775,
2026-03-17,66.34,60.88,8.968462549277268,
2026-03-16,66.91,60.63,10.357908626092684,
2026-03-13,65.57,59.93,9.410979476055386,
2026-03-12,64.63,60.3,7.180762852404642,
2026-03-11,64.63,61.34,5.3635474404955845,
2026-03-10,65.58,61.34,6.912292142158452,
2026-03-09,65.35,61.36,6.502607561929588,
2026-03-06,65.16,60.59,7.542498762171963,
2026-03-05,65.52,61.47,6.588579795021958,
2026-03-04,65.55,61.68,6.274319066147855,
2026-03-03,66.06,60.74,8.758643398090221,
2026-03-02,66.56,61.42,8.36860957342885,
2026-02-27,66.48,61.36,8.344198174706657,
2026-02-26,66.54,61.51,8.177532108600241,
2026-02-25,66.6,62.27,6.95358920828648,
2026-02-24,68.13,61.41,10.942843185148996,
2026-02-23,69.1,60.74,13.763582482713192,
2026-02-20,67.52,61.5,9.788617886178855,
2026-02-19,68.34,60.95,12.124692370795735,
2026-02-18,68.29,61.21,11.566737461199159,
2026-02-17,68.19,60.78,12.191510365251721,
2026-02-13,67.95,60.83,11.704750945257283,
2026-02-12,67.89,60.73,11.789889675613377,
2026-02-11,66.73,61.99,7.646394579770933,
2026-02-10,65.85,61.83,6.501698204754967,
2026-02-09,66.29,62.16,6.6441441441441595,
2026-02-06,66.2,61.67,7.3455488892492316,
2026-02-05,65.93,60.39,9.17370425567148,
2026-02-04,66.35,61.25,8.326530612244888,
2026-02-03,64.49,62.37,3.3990700657367285,
